"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful redirection","3702","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 19:29:22 UTC 2025","passed","Fri Dec 12 19:29:26 UTC 2025","","","",""
"","7896","Успешная регистрация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 19:29:28 UTC 2025","broken","Fri Dec 12 19:29:35 UTC 2025","","","",""
