"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authentication","2","User Login","0","0","Successful Login","0"
"0","Authentication","2","User Login","0","0","Verify Profile Data","0"
"0","Authentication","2","Profile Information","0","0","Successful Login","0"
"0","Authentication","2","Profile Information","0","0","Verify Profile Data","0"
"0","Authentication","2","API Mocking","0","0","Successful Login","0"
"0","Authentication","2","API Mocking","0","0","Verify Profile Data","0"
"0","User Profile","1","User Login","0","0","Successful Login","0"
"0","User Profile","1","User Login","0","0","Verify Profile Data","0"
"0","User Profile","1","Profile Information","0","0","Successful Login","0"
"0","User Profile","1","Profile Information","0","0","Verify Profile Data","0"
"0","User Profile","1","API Mocking","0","0","Successful Login","0"
"0","User Profile","1","API Mocking","0","0","Verify Profile Data","0"
