"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful redirection","3086","Успешная авторизация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 18:40:59 UTC 2025","passed","Fri Dec 12 18:41:02 UTC 2025","","","",""
"Verify successful redirection","3239","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 18:40:54 UTC 2025","passed","Fri Dec 12 18:40:57 UTC 2025","","","",""
