"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful redirection","2822","Успешная регистрация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 20:19:51 UTC 2025","passed","Fri Dec 12 20:19:54 UTC 2025","","","",""
"Verify successful redirection","2974","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 20:19:47 UTC 2025","passed","Fri Dec 12 20:19:50 UTC 2025","","","",""
