"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful redirection","3712","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 19:23:42 UTC 2025","passed","Fri Dec 12 19:23:46 UTC 2025","","","",""
"Verify successful redirection","3036","Успешная регистрация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 19:23:47 UTC 2025","passed","Fri Dec 12 19:23:51 UTC 2025","","","",""
