"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8355","Успешная регистрация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 20:15:44 UTC 2025","broken","Fri Dec 12 20:15:52 UTC 2025","","","",""
"Verify successful redirection","3711","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 20:15:39 UTC 2025","passed","Fri Dec 12 20:15:42 UTC 2025","","","",""
