"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful redirection","3521","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 19:02:44 UTC 2025","passed","Fri Dec 12 19:02:48 UTC 2025","","","",""
"Verify successful redirection","3238","Успешная авторизация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 19:02:50 UTC 2025","passed","Fri Dec 12 19:02:53 UTC 2025","","","",""
