"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify successful redirection","3803","Успешная авторизация и проверка данных профиля","Авторизация и профиль пользователя","Fri Dec 12 20:09:37 UTC 2025","passed","Fri Dec 12 20:09:41 UTC 2025","","","",""
"Verify successful redirection","3087","Успешная регистрация и проверка данных профиля","Регистрация и профиль пользователя","Fri Dec 12 20:09:42 UTC 2025","passed","Fri Dec 12 20:09:45 UTC 2025","","","",""
